Username,body,nonfl,money,humans,sad,past,Quant,anger,home,sexual,NEGEMO,inhib,family,space,filler,third_person,anx,negemo,number_words,swear,health,Numb,time,Affect,cause,friend,relig,number_classified_words,social,leisure,sensory,first_person,second_person,present,cognitive,POSEMO,work,ingest,motion,future,achieve,posemo,Openness,Extraversion,Neuroticism,Agreeableness,Conscientiousness
Payton_HCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.337686567164179,0.0,0.0,0.0,0.0,0.0,0.0,4.337686567164179,4288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.805970149253731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.468283582089553,0.0,0.0,0.0,0.0,0.0,9.468283582089553,0.010185912962962973,0.009875788888888891,-0.0015514888888888876,-0.00890671851851852,-0.0008271037037037039
ftony24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.878410247498945,0.0,0.0,0.0,0.0,0.0,0.0,5.878410247498945,40283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.136211305017005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.257801057518059,0.0,0.0,0.0,0.0,0.0,5.257801057518059,0.01682466437994715,0.019374027440633244,-0.003377864643799467,-0.027161786543535595,-0.008021528496042202
_miic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.583041421400455,0.0,0.0,0.0,0.0,0.0,0.0,5.583041421400455,55382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.987324401430067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.404282980029612,0.0,0.0,0.0,0.0,0.0,5.404282980029612,0.03585149990467116,0.014078801334604419,-0.008715791420400383,-0.007318829551954233,-0.0010749315538608232
_PhalenEllese,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.189898588188506,0.0,0.0,0.0,0.0,0.0,0.0,5.189898588188506,15087.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.29939683170942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.109498243520912,0.0,0.0,0.0,0.0,0.0,4.109498243520912,0.021274974430238992,0.014266025013896623,-0.003490284602556976,-0.003103683713173989,-0.0011297065036131174
doublemm5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.837698717032145,0.0,0.0,0.0,0.0,0.0,0.0,5.837698717032145,76931.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.770690618866256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.932991901834111,0.0,0.0,0.0,0.0,0.0,4.932991901834111,0.010208478426768438,0.010496082966441656,-0.006032125330202522,-0.015215354074943715,-0.004264459935427119
teeeeepick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.998197765228884,0.0,0.0,0.0,0.0,0.0,0.0,4.998197765228884,24969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.542592815090712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5443950498618286,0.0,0.0,0.0,0.0,0.0,3.5443950498618286,0.04115033574529674,0.013332944524843246,-0.008535954172696576,-0.0035274211287988455,0.00392137867824409
el__phill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.56850527972716,0.0,0.0,0.0,0.0,0.0,0.0,6.56850527972716,30494.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.445071161539975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.876565881812816,0.0,0.0,0.0,0.0,0.0,5.876565881812816,0.02843754051647382,0.018826855446720157,-0.00772150044523596,-0.014760841495992912,-0.004071949243098842
MorrisonKason,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.677265500794912,0.0,0.0,0.0,0.0,0.0,0.0,6.677265500794912,5661.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.238650415121004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5613849143260907,0.0,0.0,0.0,0.0,0.0,2.5613849143260907,0.020116372681281608,0.0155794957841484,-0.005632961214165261,-0.028086689713322087,-0.01133773861720068
FuadaMoHotta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.655086848635236,0.0,0.0,0.0,0.0,0.0,0.0,7.655086848635236,16120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.581885856079404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9267990074441688,0.0,0.0,0.0,0.0,0.0,3.9267990074441688,0.029162520807061748,0.010855464691046663,-0.01099749117276166,-0.023575331651954617,-0.009701656368221935
raymondsimsjr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.660432156133829,0.0,0.0,0.0,0.0,0.0,0.0,5.660432156133829,34432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.444702602230484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.784270446096654,0.0,0.0,0.0,0.0,0.0,3.784270446096654,0.02143297633262268,0.009141936460554391,-0.004742888486140707,-0.014506423667377387,-0.005013995522388056
