Username,body,nonfl,money,humans,sad,past,Quant,anger,home,sexual,NEGEMO,inhib,family,space,filler,third_person,anx,negemo,number_words,swear,health,Numb,time,Affect,cause,friend,relig,number_classified_words,social,leisure,sensory,first_person,second_person,present,cognitive,POSEMO,work,ingest,motion,future,achieve,posemo,Openness,Extraversion,Neuroticism,Agreeableness,Conscientiousness
cresner_holt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.941389000401445,0.0,0.0,0.0,0.0,0.0,0.0,5.941389000401445,2491.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.083500602167804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.142111601766359,0.0,0.0,0.0,0.0,0.0,6.142111601766359,0.006543789617486339,0.023241980874316937,-0.0032453415300546453,-0.016868707650273228,-0.006630196721311474
ViniChiello,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.749270363491642,0.0,0.0,0.0,0.0,0.0,0.0,4.749270363491642,3769.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.60466967365349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.855399310161847,0.0,0.0,0.0,0.0,0.0,4.855399310161847,0.03295639240506329,0.010969037974683541,-0.0051539645569620264,-0.0013663822784810119,0.0011051341772151894
Trim_Beef,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.094733141953249,0.0,0.0,0.0,0.0,0.0,0.0,7.094733141953249,17069.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11957349581112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.024840353857871,0.0,0.0,0.0,0.0,0.0,4.024840353857871,0.03676507228260865,0.009066245108695659,-0.014890955434782596,-0.023179995108695638,-0.01062999021739129
__ThatniggaD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.494330859250489,0.0,0.0,0.0,0.0,0.0,0.0,4.494330859250489,21961.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.528755521151131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.034424661900642,0.0,0.0,0.0,0.0,0.0,4.034424661900642,0.02949569133652589,0.008879423595994779,-0.005717269481932946,-0.011189771441010004,-0.0041834540705267724
sydneygreenauer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.864181933038535,0.0,0.0,0.0,0.0,0.0,0.0,4.864181933038535,7915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.37081490840177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.506632975363234,0.0,0.0,0.0,0.0,0.0,6.506632975363234,0.012093114339268974,0.011339538894095596,-0.0045320609184629785,0.0014725960637300862,0.0017168238050609189
AriErnsthausen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9759402654867255,0.0,0.0,0.0,0.0,0.0,0.0,6.9759402654867255,14464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.029867256637168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.053926991150442,0.0,0.0,0.0,0.0,0.0,5.053926991150442,0.02449853121248492,0.017820226890756345,-0.013254019207683057,-0.018130755102040857,-0.011784042617046816
nicknugget69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8331629333581185,0.0,0.0,0.0,0.0,0.0,0.0,4.8331629333581185,32277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.495925891501688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.66276295814357,0.0,0.0,0.0,0.0,0.0,4.66276295814357,0.012615449541284341,0.0128813617972242,-0.004957664784756514,-0.00968581133850858,-0.0045278849682427675
MSchultz16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.03781512605042,0.0,0.0,0.0,0.0,0.0,0.0,7.03781512605042,1904.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.607142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.569327731092437,0.0,0.0,0.0,0.0,0.0,4.569327731092437,0.014291643564356436,0.0066770033003300325,-0.013043155115511552,-0.017701062706270632,-0.00984487788778878
stevencoad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.469370896917526,0.0,0.0,0.0,0.0,0.0,0.0,4.469370896917526,23001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.482283378983523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.012912482065997,0.0,0.0,0.0,0.0,0.0,3.012912482065997,0.04685672461059189,0.0003105034267912768,-0.005884900311526481,-0.003349996261682245,-0.0011601576323987553
HeatherCupcakes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.159224291911202,0.0,0.0,0.0,0.0,0.0,0.0,4.159224291911202,15676.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.552947180403164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.393722888491962,0.0,0.0,0.0,0.0,0.0,3.393722888491962,0.05387692994161792,0.00059538198498749,-0.0035474703919933276,-0.0003976713928273563,0.0006726780650542119
