Username,body,nonfl,money,humans,sad,past,Quant,anger,home,sexual,NEGEMO,inhib,family,space,filler,third_person,anx,negemo,number_words,swear,health,Numb,time,Affect,cause,friend,relig,number_classified_words,social,leisure,sensory,first_person,second_person,present,cognitive,POSEMO,work,ingest,motion,future,achieve,posemo,Openness,Extraversion,Neuroticism,Agreeableness,Conscientiousness
jesssieallen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.883495145631068,0.0,0.0,0.0,0.0,0.0,0.0,3.883495145631068,412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.271844660194176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.388349514563107,0.0,0.0,0.0,0.0,0.0,20.388349514563107,0.008329634408602151,0.017047569892473115,-0.003194139784946237,0.02934736559139785,0.03363612903225805
LillianHopkins_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4099074578116495,0.0,0.0,0.0,0.0,0.0,0.0,6.4099074578116495,7348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.867174741426238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.457267283614589,0.0,0.0,0.0,0.0,0.0,5.457267283614589,0.0374287472118959,0.011770389095415116,-0.009365532837670382,-0.009021786864931849,-0.0039221239157373
jackharper14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.368143031288095,0.0,0.0,0.0,0.0,0.0,0.0,4.368143031288095,9844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.396586753352295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0284437220642015,0.0,0.0,0.0,0.0,0.0,5.0284437220642015,0.007670565252854813,0.007043894779771611,-0.0038257259380097917,-0.009331494290375204,-0.0019498156606851552
AndrewHStewart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0693015992676753,0.0,0.0,0.0,0.0,0.0,0.0,3.0693015992676753,18571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.88099725378278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.811695654515105,0.0,0.0,0.0,0.0,0.0,6.811695654515105,0.04182585300207033,0.01681607453416149,-0.0005911221532091102,0.003090305037957211,0.0030638944099378876
SyracuseFirst,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0423452768729642,0.0,0.0,0.0,0.0,0.0,0.0,1.0423452768729642,3070.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.058631921824104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.01628664495114,0.0,0.0,0.0,0.0,0.0,5.01628664495114,0.014398276785714292,0.007577870535714285,0.0016380714285714284,0.014344308035714284,0.017026013392857146
imshanenelson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.352306859028017,0.0,0.0,0.0,0.0,0.0,0.0,5.352306859028017,20309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.380077798020581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.027770938992565,0.0,0.0,0.0,0.0,0.0,4.027770938992565,0.025232587740384546,0.009271981169871796,-0.00743716786858974,-0.012440663461538453,-0.006913684294871792
YaBoiDroopie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7521828967539825,0.0,0.0,0.0,0.0,0.0,0.0,5.7521828967539825,15003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.024461774311805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.272278877557822,0.0,0.0,0.0,0.0,0.0,5.272278877557822,0.020916269581931747,0.012401219125420485,-0.0040220466122056755,-0.019046854877462757,-0.006182398366170113
CTFresh89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25983367048775,0.0,0.0,0.0,0.0,0.0,0.0,6.25983367048775,8898.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.215554057091481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.955720386603731,0.0,0.0,0.0,0.0,0.0,2.955720386603731,0.026660102794411163,0.01243836427145709,-0.009436915169660678,-0.024262218562874253,-0.009865612774451098
Briannainclema,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2313167259786475,0.0,0.0,0.0,0.0,0.0,0.0,5.2313167259786475,11240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.946619217081851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.715302491103203,0.0,0.0,0.0,0.0,0.0,4.715302491103203,0.027026439625850367,0.018497226190476213,-0.006473257653061223,-0.005252224489795923,0.002383628401360543
chelseiiixo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.962665888872685,0.0,0.0,0.0,0.0,0.0,0.0,7.962665888872685,27428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.772641096689515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8099752078168296,0.0,0.0,0.0,0.0,0.0,3.8099752078168296,0.030914456840137137,0.009372101277656609,-0.019466582112807763,-0.02473429323776873,-0.012800275786849535
cheyennelynn35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.482098313921867,0.0,0.0,0.0,0.0,0.0,0.0,5.482098313921867,53319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.465668898516476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.98357058459461,0.0,0.0,0.0,0.0,0.0,3.98357058459461,0.03116090366164103,0.011300988643038976,-0.011738666927746229,-0.012195991188564655,-0.004803951635010759
danielaaquino98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.527318932655654,0.0,0.0,0.0,0.0,0.0,0.0,5.527318932655654,11018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.010891268832818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.483572336177165,0.0,0.0,0.0,0.0,0.0,4.483572336177165,0.001957441926345609,0.016125972379603424,-0.008308946175637396,-0.008344082861189804,-0.004459006373937681
_miic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.583041421400455,0.0,0.0,0.0,0.0,0.0,0.0,5.583041421400455,55382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.987324401430067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.404282980029612,0.0,0.0,0.0,0.0,0.0,5.404282980029612,0.03585149990467116,0.014078801334604419,-0.008715791420400383,-0.007318829551954233,-0.0010749315538608232
wtfmegara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.913615492589156,0.0,0.0,0.0,0.0,0.0,0.0,6.913615492589156,42033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.719363357362072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.805747864772917,0.0,0.0,0.0,0.0,0.0,4.805747864772917,0.03176997095179246,0.010430012154923791,-0.013003268644416975,-0.01295020725175111,-0.007484874742480431
janeeenn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.382256297918948,0.0,0.0,0.0,0.0,0.0,0.0,7.382256297918948,9130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.146768893756846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.764512595837897,0.0,0.0,0.0,0.0,0.0,4.764512595837897,0.01489357193292144,0.010313717563989414,-0.013694537511032653,-0.018466551632833197,-0.010107702559576338
